# Average overhead for strategies: DFIB, DFIB_OPH, and DFIB_BC_HYBRID
#
Strategy	LIRA_DFIB	LIRA_DFIB_OPH	LIRA_BC_HYBRID	
5.0	6.046478055555555	6.835365555555556	5.4467375	
10.0	6.189995555555556	7.0595397222222225	5.417783888888889	
30.0	6.228584722222222	7.211186666666666	5.429649722222222	
60.0	6.1985938888888885	7.302505555555555	5.422556388888889	
120.0	6.163014166666667	7.320859444444444	5.404541388888889	
240.0	6.130743611111111	7.327033055555556	5.392817222222222	
360.0	6.122131666666666	7.351885	5.389877222222222	
600.0	6.1121566666666665	7.367834722222222	5.382513611111111	
1200.0	6.0976558333333335	7.347343333333333	5.3784769444444445	
3600.0	6.102853888888889	7.3643077777777775	5.383983611111111	
7200.0	6.102368611111111	7.3508844444444446	5.382875277777778	
