# Average overhead for strategies: DFIB, DFIB_OPH, and DFIB_BC_HYBRID
#
Strategy	LIRA_DFIB	LIRA_DFIB_OPH	LIRA_BC_HYBRID	
2.0	5.650250833333334	5.695061388888889	5.627554166666667	
4.0	5.669091944444444	5.717470555555556	5.622241111111111	
8.0	5.723738333333333	5.8088613888888885	5.5913216666666665	
16.0	5.838778055555555	6.282379722222222	5.505949722222222	
32.0	5.985531388888889	6.816721944444445	5.42422	
64.0	6.117871666666667	7.3501288888888885	5.386047777777778	
128.0	6.2110425	7.740549166666667	5.447708333333333	
