# Average latency for strategies: DFIB, DFIB_OPH, and DFIB_BC_HYBRID
#
Strategy	LIRA_DFIB	LIRA_DFIB_OPH	LIRA_BC_HYBRID	
5.0	79.63765029566956	74.0998944670477	85.53689449213722	
10.0	73.70723084549968	66.41893031666694	80.73443041767446	
30.0	71.15739601935967	61.55853286483795	76.83774962442754	
60.0	70.93805390247793	59.400485451706096	76.42345799703438	
120.0	70.82193985754857	58.660584947418066	76.63060067647474	
240.0	70.90552795803637	58.81283143234544	76.87373268861832	
360.0	71.15183754451158	58.61458080478151	76.8800970776026	
600.0	70.98670387992675	58.53186051449154	77.07901224155574	
1200.0	71.08723676851375	58.62723930746084	77.00449081284398	
3600.0	71.10099741024283	58.65947016946103	77.00039918634936	
7200.0	71.23939378809035	58.579335339215426	76.98794425864335	
