# Cachehit for strategies: NDN, NRR_PROB, and BC
#
Strategy	NDNOff	NDNOn	NRR_PROBOff	NRR_PROBOn	LIRA_BCOff	LIRA_BCOn	
0.1	0.0	0.2583122222222222	0.6970941666666667	0.1247166666666667	0.24142166666666667	0.21299749999999998	
0.25	0.0	0.23681416666666666	0.7259944444444445	0.0958199999999999	0.27395444444444444	0.1953988888888889	
0.33	0.0	0.2287363888888889	0.7306147222222222	0.08748583333333337	0.2803541666666667	0.19052749999999996	
0.5	0.0	0.21549944444444444	0.7360913888888889	0.07385055555555553	0.29085527777777775	0.1823988888888889	
0.66	0.0	0.20517166666666667	0.7385544444444444	0.06261861111111111	0.2935525	0.1771388888888889	
0.75	0.0	0.19990666666666668	0.7397130555555556	0.05760361111111112	0.2931591666666667	0.17549083333333332	
1.0	0.0	0.18674472222222221	0.7388038888888889	0.04557055555555556	0.2926897222222222	0.16972333333333334	
