# Cachehit for strategies: DFIB, DFIB_OPH, and DFIB_BC_HYBRID
#
Strategy	LIRA_DFIBOff	LIRA_DFIBOn	LIRA_DFIB_OPHOff	LIRA_DFIB_OPHOn	LIRA_BC_HYBRIDOff	LIRA_BC_HYBRIDOn	
5.0	0.2023809060083087	0.24679992732502462	0.26419019523729076	0.23319813809604256	0.2155194958944071	0.21672828188337068	
10.0	0.24194274566599344	0.25502753211178436	0.3024518489250794	0.25812815107492054	0.270675393283999	0.21251044004933434	
30.0	0.2610209987016869	0.255210390187202	0.32586003405812003	0.27399718816410223	0.2987409561765823	0.20990071049008435	
60.0	0.26501946179783814	0.2517319270910508	0.3364558999304216	0.28045187784735626	0.2986931109178126	0.20938188908218747	
120.0	0.26618799976887786	0.2502847780088999	0.33802228765594156	0.2844318790107251	0.29460469510338666	0.20935558267439108	
240.0	0.26460926766658355	0.24986462122230535	0.337434250760768	0.28400797146145423	0.2910007834188179	0.2092542165811821	
360.0	0.26432284921014104	0.24789326190097005	0.3391539064443077	0.28407192688902566	0.29060983576470895	0.20897349756862438	
600.0	0.2653494130651501	0.2478669758237388	0.3398397196663619	0.2840497247780826	0.288470307027663	0.20909719297233698	
1200.0	0.26295790663021307	0.248950704480898	0.3398331026620496	0.28318384178239486	0.2880827777601608	0.20966777779539475	
3600.0	0.2632310949754812	0.2479419605800744	0.33983859068178895	0.2825533537626555	0.28970436103771025	0.20846063896228978	
7200.0	0.2633241723886498	0.2472613831669057	0.33841237215891945	0.28449290561885837	0.2895867888796635	0.20854765556478094	
